,ID,Type,Symbolic Problem,Symbolic Equation,Variables,Numbers,Prompt
411,chal-412,Subtraction,"Rachel had to complete <1> pages of math homework, <2> pages of reading homework and <1>6 more pages of biology homework. How many more pages of math homework than reading homework did she have?",( <1> - <2> ),"['<1>', '<2>', '<3>']","['9', '2', '96']","Rachel had to complete 9 pages of math homework, 2 pages of reading homework and 96 more pages of biology homework. How many more pages of math homework than reading homework did she have?"
412,chal-413,Addition,<1> campers went rowing in the morning <2> campers went rowing in the afternoon and <3> campers went rowing in the evening. How many campers went rowing in all?,( ( <1> + <2> ) + <3> ),"['<1>', '<2>', '<3>']","['36', '13', '49']",36 campers went rowing in the morning 13 campers went rowing in the afternoon and 49 campers went rowing in the evening. How many campers went rowing in all?
413,chal-414,Subtraction,Josh had <1> marbles in his collection. He lost <2> marbles and found <3> new ones. How many more marbles did he lose than those he found?,( <2> - <3> ),"['<1>', '<2>', '<3>']","['4', '16', '8']",Josh had 4 marbles in his collection. He lost 16 marbles and found 8 new ones. How many more marbles did he lose than those he found?
414,chal-415,Subtraction,Danny collects bottle caps and wrappers. He found <1> bottle caps and <2> wrappers at the park. Now he has <3> bottle caps and <4> wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,( <2> - <1> ),"['<1>', '<2>', '<3>', '<4>']","['11', '28', '68', '51']",Danny collects bottle caps and wrappers. He found 11 bottle caps and 28 wrappers at the park. Now he has 68 bottle caps and 51 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?
415,chal-416,Subtraction,Dave had <1> files and <2> apps on his phone. After deleting some apps and files he had <3> apps and <4> files left. How many apps did he delete?,( <2> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['59', '15', '12', '30']",Dave had 59 files and 15 apps on his phone. After deleting some apps and files he had 12 apps and 30 files left. How many apps did he delete?
416,chal-417,Subtraction,Paul had <1> books. After selling some in a garage sale he bought <2> new ones. If he has <3> books now How many more books did he buy than he sold?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['71', '38', '116']",Paul had 71 books. After selling some in a garage sale he bought 38 new ones. If he has 116 books now how many more books did he buy than he sold?
417,chal-418,Addition,Allan brought <1> balloons and <2> balls while Jake brought <3> balloons and <4> balls to the park. How many balls did Allan and Jake have in the park?,( <2> + <4> ),"['<1>', '<2>', '<3>', '<4>']","['7', '5', '6', '4']",Allan brought 7 balloons and 5 balls while Jake brought 6 balloons and 4 balls to the park. How many balls did Allan and Jake have in the park?
418,chal-419,Common-Division,You have <1> dollars. How many packs of dvds can you buy if each pack costs <2> dollars?,( <1> / <2> ),"['<1>', '<2>']","['104', '26']",You have 104 dollars. How many packs of dvds can you buy if each pack costs 26 dollars?
419,chal-420,Subtraction,Kelly has <1> nintendo games and <2> sony games. How many nintendo games does she need to give away so that she will have <3> nintendo games left?,( <1> - <3> ),"['<1>', '<2>', '<3>']","['20', '70', '12']",Kelly has 20 nintendo games and 70 sony games. How many nintendo games does she need to give away so that she will have 12 nintendo games left?
420,chal-421,Subtraction,Julia played tag with <1> kids on monday. She played tag with <2> kids on tuesday. How many more kids did she play with on tuesday than on monday?,( <2> - <1> ),"['<1>', '<2>']","['11', '12']",Julia played tag with 11 kids on monday. She played tag with 12 kids on tuesday. How many more kids did she play with on tuesday than on monday?
421,chal-422,Subtraction,Tiffany was collecting cans for recycling. On monday she had <1> bags of cans. The next day she found <2> more bags worth of cans. How many more bags did she have on monday than she found on the next day?,( <1> - <2> ),"['<1>', '<2>']","['8', '7']",Tiffany was collecting cans for recycling. On monday she had 8 bags of cans. The next day she found 7 more bags worth of cans. How many more bags did she have on monday than she found on the next day?
422,chal-423,Common-Division,There are <1> skittles in Steven's skittles collection. Steven also has <2> erasers. If the erasers are organized into <3> groups How big is each group?,( <2> / <3> ),"['<1>', '<2>', '<3>']","['3941', '4950', '495']",There are 3941 skittles in Steven's skittles collection. Steven also has 4950 erasers. If the erasers are organized into 495 groups how big is each group?
423,chal-424,Subtraction,Because of the decision Sofia asked the students to suggest specific types of food. <1> students suggested adding mashed potatoes while others suggested adding bacon to the menu. If <2> more students suggested adding mashed potatoes than those that suggested bacon How many students suggested bacon?,( <1> - <2> ),"['<1>', '<2>']","['457', '63']",Because of the decision Sofia asked the students to suggest specific types of food. 457 students suggested adding mashed potatoes while others suggested adding bacon to the menu. If 63 more students suggested adding mashed potatoes than those that suggested bacon how many students suggested bacon?
424,chal-425,Multiplication,The Razorback t-shirt shop sells each t-shirt for $ <1> dollars. During the Arkansas and Texas tech game they offered a discount of $ <2> per t-shirt and sold <3> t-shirts. How much money did they make from selling the t-shirts?,( ( <1> - <2> ) * <3> ),"['<1>', '<2>', '<3>']","['51', '8', '130']",The Razorback t-shirt shop sells each t-shirt for $ 51 dollars. During the Arkansas and Texas tech game they offered a discount of $ 8 per t-shirt and sold 130 t-shirts. How much money did they make from selling the t-shirts?
425,chal-426,Subtraction,<1> storks and <2> birds were sitting on the fence. <3> more birds came to join them. How many more birds than storks are sitting on the fence?,( ( <2> + <3> ) - <1> ),"['<1>', '<2>', '<3>']","['5', '3', '4']",5 storks and 3 birds were sitting on the fence. 4 more birds came to join them. How many more birds than storks are sitting on the fence?
426,chal-427,Common-Division,Matthew had <1> crackers and <2> cakes. If Matthew gave equal numbers of crackers and cakes to his 2 friends How many cakes did each person eat?,( <2> / <3> ),"['<1>', '<2>', '<3>']","['29', '30', '2']",Matthew had 29 crackers and 30 cakes. If Matthew gave equal numbers of crackers and cakes to his 2 friends how many cakes did each person eat?
427,chal-428,Addition,There were <1> roses in the vase. Jessica cut <2> more roses from her flower garden and put them in the vase. How many roses are there in the vase now?,( <1> + <2> ),"['<1>', '<2>']","['10', '8']",There were 10 roses in the vase. Jessica cut 8 more roses from her flower garden and put them in the vase. How many roses are there in the vase now?
428,chal-429,Common-Division,Frank was reading through his favorite book. The book had <1> pages equally distributed over <2> chapters. It took Frank <3> days to finish the book. How many pages are in each chapter?,( <1> / <2> ),"['<1>', '<2>', '<3>']","['555', '5', '220']",Frank was reading through his favorite book. The book had 555 pages equally distributed over 5 chapters. It took Frank 220 days to finish the book. How many pages are in each chapter?
429,chal-430,Subtraction,Paco had <1> sweet cookies and <2> salty cookies. He ate <3> sweet cookies and <4> salty cookies. How many sweet cookies did Paco have left?,( <1> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['22', '75', '15', '54']",Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?
430,chal-431,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of flour and <2> cups of sugar. She already put in <3> cups of flour and <4> cups of sugar. How many more cups of flour does she need to add?,( <1> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['9', '5', '3', '62']",Mary is baking a cake. The recipe calls for 9 cups of flour and 5 cups of sugar. She already put in 3 cups of flour and 62 cups of sugar. How many more cups of flour does she need to add?
431,chal-432,Common-Division,Each pack of dvds costs <1> dollars. If there is a discount of <2> dollars on each pack How many packs of dvds can you buy with <3> dollars?,( <3> / ( <1> - <2> ) ),"['<1>', '<2>', '<3>']","['107', '106', '93']",Each pack of dvds costs 107 dollars. If there is a discount of 106 dollars on each pack how many packs of dvds can you buy with 93 dollars?
432,chal-433,Subtraction,There are <1> different books and <2> different movies in the ' crazy silly school ' series. If you read <3> of the books and watched <4> of the movies How many more movies than books are there in the ' crazy silly school ' series?,( <2> - <1> ),"['<1>', '<2>', '<3>', '<4>']","['8', '10', '19', '61']",There are 8 different books and 10 different movies in the ' crazy silly school ' series. If you read 19 of the books and watched 61 of the movies how many more movies than books are there in the ' crazy silly school ' series?
433,chal-434,Addition,Bobby ate <1> pieces of candy. Then he ate <2> more. He also ate <3> pieces of chocolate. How many pieces of candy and chocolate did Bobby eat altogether?,( ( <1> + <2> ) + <3> ),"['<1>', '<2>', '<3>']","['33', '4', '14']",Bobby ate 33 pieces of candy. Then he ate 4 more. He also ate 14 pieces of chocolate. How many pieces of candy and chocolate did Bobby eat altogether?
434,chal-435,Common-Division,Bryan took a look at his books as well. He has <1> bookshelves with each having the same number of books. If he has a total of <2> books How many books are there in each bookshelf?,( <2> / <1> ),"['<1>', '<2>']","['7', '28']",Bryan took a look at his books as well. He has 7 bookshelves with each having the same number of books. If he has a total of 28 books how many books are there in each bookshelf?
435,chal-436,Common-Division,Melissa scored <1> points in each game. If she scored a total of <2> points How many games did she play?,( <2> / <1> ),"['<1>', '<2>']","['12', '36']",Melissa scored 12 points in each game. If she scored a total of 36 points how many games did she play?
436,chal-437,Addition,Rachel had to complete <1> pages of math homework. If she had to complete <2> more pages of reading homework than math homework How many pages of reading homework did she have to complete?,( <1> + <2> ),"['<1>', '<2>']","['8', '6']",Rachel had to complete 8 pages of math homework. If she had to complete 6 more pages of reading homework than math homework how many pages of reading homework did she have to complete?
437,chal-438,Addition,Jack received <1> emails and sent <2> letters in the morning. He then received 2 emails and sent <4> letters in the afternoon. How many emails did Jack receive in the day?,( <1> + <3> ),"['<1>', '<2>', '<3>', '<4>']","['6', '91', '2', '74']",Jack received 6 emails and sent 91 letters in the morning. He then received 2 emails and sent 74 letters in the afternoon. How many emails did Jack receive in the day?
438,chal-439,Subtraction,At the arcade Dave had won <1> tickets. He used some tickets to buy toys. If he still has <2> tickets left How many tickets did Dave use to buy toys?,( <1> - <2> ),"['<1>', '<2>']","['7', '2']",At the arcade Dave had won 7 tickets. He used some tickets to buy toys. If he still has 2 tickets left how many tickets did Dave use to buy toys?
439,chal-440,Subtraction,Every day Ryan spends <1> hours on learning english and some more hours on learning chinese. If he spends <2> hours more on learning english than on learning chinese How many hours does he spend on learning chinese?,( <1> - <2> ),"['<1>', '<2>']","['7', '2']",Every day Ryan spends 7 hours on learning english and some more hours on learning chinese. If he spends 2 hours more on learning english than on learning chinese how many hours does he spend on learning chinese?
440,chal-441,Addition,Katie had <1> ds games and her new friends had <2> games and old friends had <3> games. How many games do her friends have in all?,( <2> + <3> ),"['<1>', '<2>', '<3>']","['91', '88', '53']",Katie had 91 ds games and her new friends had 88 games and old friends had 53 games. How many games do her friends have in all?
441,chal-442,Addition,Paul got a box of some crayons for his birthday. During the school year he gave <1> crayons to his friends while he lost <2> crayons. If he only had <3> crayons left How many crayons had been lost or given away?,( <1> + <2> ),"['<1>', '<2>', '<3>']","['52', '535', '492']",Paul got a box of some crayons for his birthday. During the school year he gave 52 crayons to his friends while he lost 535 crayons. If he only had 492 crayons left how many crayons had been lost or given away?
442,chal-443,Multiplication,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by <1> of the pickers that they fill <2> drums of grapes per day and <3> drums of raspberries per day. How many drums of grapes would be filled in <4> days?",( <2> * <4> ),"['<1>', '<2>', '<3>', '<4>']","['294', '244', '47', '146']","Being his favorite, he saved checking on the grapevines for his last stop. He was told by 294 of the pickers that they fill 244 drums of grapes per day and 47 drums of raspberries per day. How many drums of grapes would be filled in 146 days?"
443,chal-444,Subtraction,Jake has <1> fewer peaches than Steven and <2> more peaches than Jill. Steven has <3> peaches. How many peaches does Jill have?,( ( <3> - <1> ) - <2> ),"['<1>', '<2>', '<3>']","['7', '8', '17']",Jake has 7 fewer peaches than Steven and 8 more peaches than Jill. Steven has 17 peaches. How many peaches does Jill have?
444,chal-445,Subtraction,"<1> red peaches, <2> yellow peaches and <3> green peaches are in the basket. How many more green peaches than yellow peaches are in the basket?",( <3> - <2> ),"['<1>', '<2>', '<3>']","['2', '6', '14']","2 red peaches, 6 yellow peaches and 14 green peaches are in the basket. How many more green peaches than yellow peaches are in the basket?"
445,chal-446,Multiplication,A book has <1> chapters. Each chapter is <2> pages long. How many pages does the book have altogether?,( <1> * <2> ),"['<1>', '<2>']","['31', '61']",A book has 31 chapters. Each chapter is 61 pages long. How many pages does the book have altogether?
446,chal-447,Common-Division,Brenda's mother made cookies for guests. Each guest had <1> cookies. If she prepared a total of <2> cookies How many guests did she prepare cookies for?,( <2> / <1> ),"['<1>', '<2>']","['2', '10']",Brenda's mother made cookies for guests. Each guest had 2 cookies. If she prepared a total of 10 cookies how many guests did she prepare cookies for?
447,chal-448,Subtraction,Every day Ryan spends a total of <1> hours on learning english and chinese. If he spends <2> hours on learning english everyday How many hours does he spend on learning chinese?,( <1> - <2> ),"['<1>', '<2>']","['3', '2']",Every day Ryan spends a total of 3 hours on learning english and chinese. If he spends 2 hours on learning english everyday how many hours does he spend on learning chinese?
448,chal-449,Multiplication,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by <1> of the pickers that they fill <2> drums of raspberries per day and <3> drums of grapes per day. How many drums of grapes would be filled in <4> days?",( <3> * <4> ),"['<1>', '<2>', '<3>', '<4>']","['235', '100', '221', '77']","Being his favorite, he saved checking on the grapevines for his last stop. He was told by 235 of the pickers that they fill 100 drums of raspberries per day and 221 drums of grapes per day. How many drums of grapes would be filled in 77 days?"
449,chal-450,Subtraction,Bobby ate <1> pieces of candy. Then he ate <2> more. He also ate <3> pieces of chocolate. How many more pieces of candy than chocolate did Bobby eat?,( ( <1> + <2> ) - <3> ),"['<1>', '<2>', '<3>']","['38', '36', '16']",Bobby ate 38 pieces of candy. Then he ate 36 more. He also ate 16 pieces of chocolate. How many more pieces of candy than chocolate did Bobby eat?
450,chal-451,Common-Division,He then went to see the oranges being harvested. He found out that they harvested <1> sacks of oranges. How many days did it take to harvest them if they harvested <2> sacks of oranges per day?,( <1> / <2> ),"['<1>', '<2>']","['54', '18']",He then went to see the oranges being harvested. He found out that they harvested 54 sacks of oranges. How many days did it take to harvest them if they harvested 18 sacks of oranges per day?
451,chal-452,Common-Division,A mailman has to give <1> pieces of junk mail to each block. If he gives <2> mails to each house in a block How many houses are there in a block?,( <1> / <2> ),"['<1>', '<2>']","['25', '5']",A mailman has to give 25 pieces of junk mail to each block. If he gives 5 mails to each house in a block how many houses are there in a block?
452,chal-453,Subtraction,A waiter had <1> customers. After some left he still had <2> customers. Then he got <3> new customers How many customers left?,( <1> - <2> ),"['<1>', '<2>', '<3>']","['8', '5', '99']",A waiter had 8 customers. After some left he still had 5 customers. Then he got 99 new customers how many customers left?
453,chal-454,Subtraction,Jake has <1> fewer peaches and <2> more apples than Steven. Steven has <3> apples and <4> peaches. How many more apples than peaches does Steven have?,( <3> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['3', '4', '19', '15']",Jake has 3 fewer peaches and 4 more apples than Steven. Steven has 19 apples and 15 peaches. How many more apples than peaches does Steven have?
454,chal-455,Subtraction,Every day Ryan spends <1> hours on learning english and <2> hours on learning chinese. How many more hours does he spend on learning chinese than he does on learning english?,( <2> - <1> ),"['<1>', '<2>']","['6', '7']",Every day Ryan spends 6 hours on learning english and 7 hours on learning chinese. How many more hours does he spend on learning chinese than he does on learning english?
455,chal-456,Addition,<1> birds and <1>6 storks were sitting on the fence. 6 more birds came to join them. How many birds are sitting on the fence?,( <1> + <3> ),"['<1>', '<2>', '<3>']","['4', '46', '6']",4 birds and 46 storks were sitting on the fence. 6 more birds came to join them. How many birds are sitting on the fence?
456,chal-457,Subtraction,Paco had <1> cookies. He ate some of them and had <2> cookies left. How many cookies did Paco eat?,( <1> - <2> ),"['<1>', '<2>']","['28', '7']",Paco had 28 cookies. He ate some of them and had 7 cookies left. How many cookies did Paco eat?
457,chal-458,Common-Division,Matthew had <1> crackers to give to friends. If Matthew gave <2> crackers to each his friends How many friends did he give crackers to?,( <1> / <2> ),"['<1>', '<2>']","['8', '2']",Matthew had 8 crackers to give to friends. If Matthew gave 2 crackers to each his friends how many friends did he give crackers to?
458,chal-459,Addition,<1> campers went rowing and <2> campers went hiking in the morning. <3> campers went rowing in the afternoon. How many campers went rowing and hiking in all?,( ( <1> + <3> ) + <2> ),"['<1>', '<2>', '<3>']","['41', '4', '26']",41 campers went rowing and 4 campers went hiking in the morning. 26 campers went rowing in the afternoon. How many campers went rowing and hiking in all?
459,chal-460,Subtraction,Paco had <1> cookies. He ate <2> of them. Then he bought <3> more cookies How many more cookies did he buy than those he ate?,( <3> - <2> ),"['<1>', '<2>', '<3>']","['13', '2', '36']",Paco had 13 cookies. He ate 2 of them. Then he bought 36 more cookies how many more cookies did he buy than those he ate?
460,chal-461,Addition,Zachary did <1> push-ups in gym class today. David did <2> more push-ups than Zachary. John did <3> push-ups less than david. How many push-ups did David do?,( <1> + <2> ),"['<1>', '<2>', '<3>']","['19', '39', '13']",Zachary did 19 push-ups in gym class today. David did 39 more push-ups than Zachary. John did 13 push-ups less than david. How many push-ups did David do?
461,chal-462,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of flour <2> cups of sugar and <3> cups of salt. She already put in 2 cups of flour. How many more cups of flour than cups of salt does she need to add now?,( ( <1> - <4> ) - <3> ),"['<1>', '<2>', '<3>', '<4>']","['12', '14', '7', '2']",Mary is baking a cake. The recipe calls for 12 cups of flour 14 cups of sugar and 7 cups of salt. She already put in 2 cups of flour. How many more cups of flour than cups of salt does she need to add now?
462,chal-463,Subtraction,There were <1> roses in the vase. Jessica threw away <2> roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now <3> roses in the vase. How many more roses did she cut than those she threw away?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['15', '33', '17']",There were 15 roses in the vase. Jessica threw away 33 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 17 roses in the vase. How many more roses did she cut than those she threw away?
463,chal-464,Subtraction,Last week Fred had <1> dollars and Jason had <2> dollars. Fred washed cars over the weekend and now has <3> dollars. Jason delivered newspapers and now has <4> dollars. How much money did Jason earn by delivering newspapers?,( <4> - <2> ),"['<1>', '<2>', '<3>', '<4>']","['49', '3', '112', '63']",Last week Fred had 49 dollars and Jason had 3 dollars. Fred washed cars over the weekend and now has 112 dollars. Jason delivered newspapers and now has 63 dollars. How much money did Jason earn by delivering newspapers?
464,chal-465,Subtraction,Jake has <1> fewer peaches than Steven and <2> more peaches than Jill. Steven has <3> peaches. How many peaches does Jake have?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['7', '9', '16']",Jake has 7 fewer peaches than Steven and 9 more peaches than Jill. Steven has 16 peaches. How many peaches does Jake have?
465,chal-466,Subtraction,<1> campers went rowing on a day. <2> campers went rowing in the morning and some more campers went rowing in the afternoon. How many campers went rowing in the afternoon?,( <1> - <2> ),"['<1>', '<2>']","['46', '43']",46 campers went rowing on a day. 43 campers went rowing in the morning and some more campers went rowing in the afternoon. How many campers went rowing in the afternoon?
466,chal-467,Addition,The ring toss game at the carnival made <1> dollars in the first <2> days and <3> dollars in the remaining <4> days. How much did they make in all?,( <1> + <3> ),"['<1>', '<2>', '<3>', '<4>']","['382', '44', '374', '10']",The ring toss game at the carnival made 382 dollars in the first 44 days and 374 dollars in the remaining 10 days. How much did they make in all?
467,chal-468,Subtraction,A book has <1> chapters. The second chapter is <2> pages long. If there are a total of <3> pages in the book How many pages are in the first chapter?,( <3> - <2> ),"['<1>', '<2>', '<3>']","['2', '36', '67']",A book has 2 chapters. The second chapter is 36 pages long. If there are a total of 67 pages in the book how many pages are in the first chapter?
468,chal-469,Subtraction,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had <1> invitations in it and she bought <2> packs. If she wants to invite <3> friends How many extra invitations will she need to buy?,( <3> - ( <1> * <2> ) ),"['<1>', '<2>', '<3>']","['3', '2', '9']",Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 3 invitations in it and she bought 2 packs. If she wants to invite 9 friends how many extra invitations will she need to buy?
469,chal-470,Subtraction,Zachary did <1> push-ups in gym class today. David did <2> more push-ups than Zachary. John did <3> push-ups less than David. How many more push-ups did Zachary do than John?,( <2> - <3> ),"['<1>', '<2>', '<3>']","['15', '39', '9']",Zachary did 15 push-ups in gym class today. David did 39 more push-ups than Zachary. John did 9 push-ups less than David. How many more push-ups did Zachary do than John?
470,chal-471,Subtraction,Ed had <1> more marbles than Doug. Doug lost some of his marbles at the playground. Now Ed has <2> more marbles than doug. How many marbles did Doug lose?,( <2> - <1> ),"['<1>', '<2>']","['2', '19']",Ed had 2 more marbles than Doug. Doug lost some of his marbles at the playground. Now Ed has 19 more marbles than doug. How many marbles did Doug lose?
471,chal-472,Common-Division,There are <1> skittles in Steven's skittles collection. Steven also has <2> erasers and <3> scales. If the skittles are organized into <4> groups How big is each group?,( <1> / <4> ),"['<1>', '<2>', '<3>', '<4>']","['896', '517', '90', '8']",There are 896 skittles in Steven's skittles collection. Steven also has 517 erasers and 90 scales. If the skittles are organized into 8 groups how big is each group?
472,chal-473,Common-Division,Rebecca wants to split a collection of eggs into groups of <1>. Rebecca has <2> marbles and <3> eggs. How many groups will be created?,( <3> / <1> ),"['<1>', '<2>', '<3>']","['5', '10', '15']",Rebecca wants to split a collection of eggs into groups of 5. Rebecca has 10 marbles and 15 eggs. How many groups will be created?
473,chal-474,Subtraction,Paul had <1> pens and <2> books. After selling some books and pens in a garage sale he had <3> books and <4> pens left. How many books did he sell in the garage sale?,( <2> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['95', '153', '13', '23']",Paul had 95 pens and 153 books. After selling some books and pens in a garage sale he had 13 books and 23 pens left. How many books did he sell in the garage sale?
474,chal-475,Common-Division,Frank was reading through his favorite book. The book had <1> pages equally distributed over <2> chapters. It took Frank <3> days to finish the book. How many pages did he read per day?,( <1> / <3> ),"['<1>', '<2>', '<3>']","['612', '24', '6']",Frank was reading through his favorite book. The book had 612 pages equally distributed over 24 chapters. It took Frank 6 days to finish the book. How many pages did he read per day?
475,chal-476,Common-Division,There are <1> peaches distributed equally in some baskets. If each basket has <2> red peaches and <3> green peaches How many baskets of peaches are there?,( <1> / ( <2> + <3> ) ),"['<1>', '<2>', '<3>']","['10', '4', '6']",There are 10 peaches distributed equally in some baskets. If each basket has 4 red peaches and 6 green peaches how many baskets of peaches are there?
476,chal-477,Common-Division,Lewis earns $ <1> every week during the harvest. If he earns a total of $ <2> How many weeks did the harvest last?,( <2> / <1> ),"['<1>', '<2>']","['2', '178']",Lewis earns $ 2 every week during the harvest. If he earns a total of $ 178 how many weeks did the harvest last?
477,chal-478,Subtraction,Danny collects bottle caps. He threw away <1> of the old ones at the park while he found <2> bottle caps new ones. Now he has <3> bottle caps in his collection. How many more bottle caps did danny throw away than those he found at the park?,( <1> - <2> ),"['<1>', '<2>', '<3>']","['54', '48', '52']",Danny collects bottle caps. He threw away 54 of the old ones at the park while he found 48 bottle caps new ones. Now he has 52 bottle caps in his collection. How many more bottle caps did danny throw away than those he found at the park?
478,chal-479,Multiplication,He then went to see the oranges being harvested. He found out that they harvest <1> sacks of ripe oranges and <2> sacks of unripe oranges per day. How many sacks of unripe oranges will they have after <3> days of harvest?,( <2> * <3> ),"['<1>', '<2>', '<3>']","['31', '24', '45']",He then went to see the oranges being harvested. He found out that they harvest 31 sacks of ripe oranges and 24 sacks of unripe oranges per day. How many sacks of unripe oranges will they have after 45 days of harvest?
479,chal-480,Subtraction,The grasshopper and the frog had a jumping contest. The grasshopper jumped <1> inches. The grasshopper jumped <2> inches farther than the frog. How much did they jump altogether?,( <1> + ( <1> - <2> ) ),"['<1>', '<2>']","['35', '4']",The grasshopper and the frog had a jumping contest. The grasshopper jumped 35 inches. The grasshopper jumped 4 inches farther than the frog. How much did they jump altogether?
480,chal-481,Multiplication,The Razorback shop makes $ <1> dollars off each t-shirt and $ <2> off each jersey. During the Arkansas and Texas tech game they sold <3> t-shirts and <4> jerseys. How much money did they make from selling the jerseys?,( <2> * <4> ),"['<1>', '<2>', '<3>', '<4>']","['67', '165', '74', '156']",The Razorback shop makes $ 67 dollars off each t-shirt and $ 165 off each jersey. During the Arkansas and Texas tech game they sold 74 t-shirts and 156 jerseys. How much money did they make from selling the jerseys?
481,chal-482,Multiplication,After resting they decided to go for a swim. The depth of the water is <1> times Ron's height. Dean is <2> feet shorter than Ron. If Ron stands at <3> feet How deep was the water?,( <3> * <1> ),"['<1>', '<2>', '<3>']","['5', '11', '12']",After resting they decided to go for a swim. The depth of the water is 5 times Ron's height. Dean is 11 feet shorter than Ron. If Ron stands at 12 feet how deep was the water?
482,chal-483,Multiplication,There are <1> pots. Each pot has <2> flowers and <3> sticks in it. How many flowers and sticks are there in all?,( ( <2> + <3> ) * <1> ),"['<1>', '<2>', '<3>']","['466', '53', '181']",There are 466 pots. Each pot has 53 flowers and 181 sticks in it. How many flowers and sticks are there in all?
483,chal-484,Subtraction,Paul got a box of <1> crayons for his birthday. During the school year he gave <2> crayons to his friends while he lost <3> crayons. How many more crayons did he lose than those he gave to his friends?,( <3> - <2> ),"['<1>', '<2>', '<3>']","['110', '90', '412']",Paul got a box of 110 crayons for his birthday. During the school year he gave 90 crayons to his friends while he lost 412 crayons. How many more crayons did he lose than those he gave to his friends?
484,chal-485,Subtraction,In a school there are <1> girls and <2> boys. How many more girls than boys does the school have?,( <1> - <2> ),"['<1>', '<2>']","['569', '236']",In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?
485,chal-486,Multiplication,He then went to see the oranges being harvested. He found out that they harvest <1> sacks of unripe oranges and <2> sacks of ripe oranges per day. How many sacks of unripe oranges will they have after <3> days of harvest?,( <1> * <3> ),"['<1>', '<2>', '<3>']","['65', '46', '6']",He then went to see the oranges being harvested. He found out that they harvest 65 sacks of unripe oranges and 46 sacks of ripe oranges per day. How many sacks of unripe oranges will they have after 6 days of harvest?
486,chal-487,Subtraction,The Ferris wheel in paradise park has <1> seats. Each seat can hold <2> people. If there are <3> people on the wheel right now How many more people can join the wheel?,( ( <1> * <2> ) - <3> ),"['<1>', '<2>', '<3>']","['6', '14', '16']",The Ferris wheel in paradise park has 6 seats. Each seat can hold 14 people. If there are 16 people on the wheel right now how many more people can join the wheel?
487,chal-488,Common-Division,Debby bought <1> water bottles when they were on sale. She drank the same number of bottles each day. If the bottles lasted for <2> days How many bottles did she drink each day?,( <1> / <2> ),"['<1>', '<2>']","['153', '17']",Debby bought 153 water bottles when they were on sale. She drank the same number of bottles each day. If the bottles lasted for 17 days how many bottles did she drink each day?
488,chal-489,Multiplication,Robin has <1> packages of gum and <2> packages of candy. There are <3> pieces in each package. How many pieces of candies does Robin have?,( <2> * <3> ),"['<1>', '<2>', '<3>']","['21', '45', '9']",Robin has 21 packages of gum and 45 packages of candy. There are 9 pieces in each package. How many pieces of candies does Robin have?
489,chal-490,Subtraction,After Olivia visited a supermarket there were <1> dollars left. If there were <2> dollars in her wallet initially How much did she spend?,( <2> - <1> ),"['<1>', '<2>']","['29', '54']",After Olivia visited a supermarket there were 29 dollars left. If there were 54 dollars in her wallet initially how much did she spend?
490,chal-491,Subtraction,Haley grew <1> trees in her backyard. After a typhoon <2> trees were left. How many trees died in the typhoon?,( <1> - <2> ),"['<1>', '<2>']","['20', '4']",Haley grew 20 trees in her backyard. After a typhoon 4 trees were left. How many trees died in the typhoon?
491,chal-492,Subtraction,Jake has <1> fewer peaches than Steven who has <2> more peaches than Jill. Steven has <3> peaches. How many peaches does Jake have?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['7', '14', '15']",Jake has 7 fewer peaches than Steven who has 14 more peaches than Jill. Steven has 15 peaches. How many peaches does Jake have?
492,chal-493,Multiplication,Lewis earns $ <1> every week during the <2> weeks of harvest. If he has to pay $ <3> rent every week How much money will have at the end of the harvest season?,( ( <1> - <3> ) * <2> ),"['<1>', '<2>', '<3>']","['491', '1181', '216']",Lewis earns $ 491 every week during the 1181 weeks of harvest. If he has to pay $ 216 rent every week how much money will have at the end of the harvest season?
493,chal-494,Subtraction,Paul had <1> books and <2> pens. After selling some books and pens in a garage sale he had <3> books and <4> pens left. How many pens did he sell in the garage sale?,( <2> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['51', '106', '82', '14']",Paul had 51 books and 106 pens. After selling some books and pens in a garage sale he had 82 books and 14 pens left. How many pens did he sell in the garage sale?
